Score,Filename
0.6578,always_pack_sunscreen.png
0.5421,290-367x267.png
0.4885,261-367x267.png
0.4669,239-367x267.png
0.4474,40-367x267.png
0.4356,117-367x267.png
0.4310,218-367x267.png
0.4259,500-536x354.png
0.4240,91-367x267.png
0.4190,82-367x267.png
0.4046,21-367x267.png
0.3971,53-367x267.png
0.3749,260-367x267.png
0.3746,157-367x267.png
0.3661,158-367x267.png
0.3611,293-367x267.png
0.3576,34-367x267.png
0.3497,237-367x267.png
0.3460,152-367x267.png
0.3426,153-367x267.png
0.3406,89-367x267.png
0.3403,306-367x267.png
0.3388,65-367x267.png
0.3309,289-367x267.png
0.3276,208-367x267.png
0.3245,17-367x267.png
0.3238,22-367x267.png
0.3204,20-367x267.png
0.3192,307-367x267.png
0.3171,304-367x267.png
0.3043,312-367x267.png
0.3034,58-367x267.png
0.3030,9-367x267.png
0.3007,19-367x267.png
0.3002,95-367x267.png
0.2948,175-367x267.png
0.2922,116-536x354.png
0.2874,142-367x267.png
0.2834,221-367x267.png
0.2821,156-367x267.png
0.2816,55-367x267.png
0.2810,538-536x354.png
0.2804,75-367x267.png
0.2788,220-367x267.png
0.2775,311-367x267.png
0.2759,56-367x267.png
0.2709,310-367x267.png
0.2681,96-367x267.png
0.2675,30-367x267.png
0.2661,35-367x267.png
0.2650,116-367x267.png
0.2642,253-367x267.png
0.2624,26-367x267.png
0.2603,2-367x267.png
0.2602,3-367x267.png
0.2588,159-367x267.png
0.2570,4-367x267.png
0.2566,88-367x267.png
0.2539,212-367x267.png
0.2529,59-367x267.png
0.2527,45-367x267.png
0.2521,120-367x267.png
0.2492,202-367x267.png
0.2482,5-367x267.png
0.2476,179-367x267.png
0.2476,316-367x267.png
0.2470,250-367x267.png
0.2462,57-367x267.png
0.2455,186-367x267.png
0.2426,255-367x267.png
0.2407,146-367x267.png
0.2386,263-367x267.png
0.2378,6-367x267.png
0.2377,243-367x267.png
0.2362,272-367x267.png
0.2357,0-367x267.png
0.2353,225-367x267.png
0.2341,190-367x267.png
0.2319,180-367x267.png
0.2304,119-367x267.png
0.2276,257-367x267.png
0.2270,189-367x267.png
0.2261,108-367x267.png
0.2257,167-367x267.png
0.2241,39-367x267.png
0.2219,315-367x267.png
0.2212,284-367x267.png
0.2206,50-367x267.png
0.2186,217-367x267.png
0.2177,299-367x267.png
0.2173,169-367x267.png
0.2161,106-367x267.png
0.2159,114-367x267.png
0.2154,110-367x267.png
0.2152,99-367x267.png
0.2145,78-367x267.png
0.2140,143-367x267.png
0.2138,292-367x267.png
0.2124,104-367x267.png
0.2123,274-367x267.png
0.2110,643-536x354.png
0.2102,219-367x267.png
0.2096,214-367x267.png
0.2091,83-367x267.png
0.2087,531-536x354.png
0.2075,249-367x267.png
0.2073,856-536x354.png
0.2068,271-367x267.png
0.2065,70-367x267.png
0.2060,300-367x267.png
0.2040,254-367x267.png
0.2026,227-367x267.png
0.1995,139-367x267.png
0.1991,233-367x267.png
0.1986,270-367x267.png
0.1965,127-367x267.png
0.1955,8-367x267.png
0.1937,115-367x267.png
0.1936,36-367x267.png
0.1909,182-367x267.png
0.1906,90-367x267.png
0.1906,195-367x267.png
0.1899,31-367x267.png
0.1889,196-367x267.png
0.1882,1-367x267.png
0.1873,145-367x267.png
0.1871,28-367x267.png
0.1852,81-367x267.png
0.1839,181-367x267.png
0.1824,13-367x267.png
0.1812,305-367x267.png
0.1777,163-367x267.png
0.1769,191-367x267.png
0.1761,122-367x267.png
0.1755,210-367x267.png
0.1725,241-367x267.png
0.1706,133-367x267.png
0.1693,69-367x267.png
0.1666,329-536x354.png
0.1645,137-367x267.png
0.1630,222-367x267.png
0.1610,63-367x267.png
0.1600,41-367x267.png
0.1598,51-367x267.png
0.1594,44-367x267.png
0.1577,80-367x267.png
0.1571,101-367x267.png
0.1543,64-367x267.png
0.1533,192-367x267.png
0.1521,230-367x267.png
0.1482,124-367x267.png
0.1468,48-367x267.png
0.1446,215-367x267.png
0.1436,107-367x267.png
0.1436,23-367x267.png
0.1423,15-367x267.png
0.1406,47-367x267.png
0.1400,301-367x267.png
0.1382,252-367x267.png
0.1376,209-367x267.png
0.1366,273-367x267.png
0.1366,264-367x267.png
0.1359,308-367x267.png
0.1351,247-367x267.png
0.1346,7-367x267.png
0.1339,309-367x267.png
0.1311,100-367x267.png
0.1310,73-367x267.png
0.1295,134-367x267.png
0.1286,258-367x267.png
0.1268,297-367x267.png
0.1267,67-367x267.png
0.1235,140-367x267.png
0.1226,136-367x267.png
0.1224,77-367x267.png
0.1208,211-367x267.png
0.1201,112-367x267.png
0.1197,87-367x267.png
0.1189,216-367x267.png
0.1186,161-367x267.png
0.1185,79-367x267.png
0.1181,72-367x267.png
0.1181,296-367x267.png
0.1175,248-367x267.png
0.1164,295-367x267.png
0.1161,160-367x267.png
0.1155,281-367x267.png
0.1152,123-367x267.png
0.1136,173-367x267.png
0.1123,76-367x267.png
0.1120,275-367x267.png
0.1110,165-367x267.png
0.1106,276-367x267.png
0.1040,43-367x267.png
0.0992,18-367x267.png
0.0988,92-367x267.png
0.0988,168-367x267.png
0.0984,238-367x267.png
0.0970,170-367x267.png
0.0968,132-367x267.png
0.0961,14-367x267.png
0.0958,141-367x267.png
0.0944,60-367x267.png
0.0941,663-536x354.png
0.0938,113-367x267.png
0.0936,200-367x267.png
0.0906,164-367x267.png
0.0891,206-367x267.png
0.0885,223-367x267.png
0.0873,229-367x267.png
0.0841,265-367x267.png
0.0828,29-367x267.png
0.0819,11-367x267.png
0.0810,61-367x267.png
0.0807,149-367x267.png
0.0802,121-367x267.png
0.0801,54-367x267.png
0.0797,259-367x267.png
0.0744,177-367x267.png
0.0732,294-367x267.png
0.0726,52-367x267.png
0.0716,27-367x267.png
0.0715,626-536x354.png
0.0707,174-367x267.png
0.0705,314-367x267.png
0.0703,288-367x267.png
0.0695,155-367x267.png
0.0692,244-367x267.png
0.0692,84-367x267.png
0.0654,282-367x267.png
0.0637,184-367x267.png
0.0631,183-367x267.png
0.0627,280-367x267.png
0.0622,102-367x267.png
0.0587,232-367x267.png
0.0584,118-367x267.png
0.0561,151-367x267.png
0.0549,256-367x267.png
0.0544,33-367x267.png
0.0541,111-367x267.png
0.0531,42-367x267.png
0.0527,213-367x267.png
0.0526,37-367x267.png
0.0526,178-367x267.png
0.0524,267-367x267.png
0.0507,135-367x267.png
0.0506,125-367x267.png
0.0506,287-367x267.png
0.0488,94-367x267.png
0.0469,240-367x267.png
0.0455,38-367x267.png
0.0447,68-367x267.png
0.0414,162-367x267.png
0.0377,188-367x267.png
0.0370,25-367x267.png
0.0363,235-367x267.png
0.0339,147-367x267.png
0.0331,66-367x267.png
0.0305,197-367x267.png
0.0287,98-367x267.png
0.0270,74-367x267.png
0.0246,126-367x267.png
0.0199,234-367x267.png
0.0190,130-367x267.png
0.0170,283-367x267.png
0.0129,268-367x267.png
0.0116,93-367x267.png
0.0098,236-367x267.png
0.0070,242-367x267.png
0.0046,16-367x267.png
0.0040,204-367x267.png
0.0023,302-367x267.png
0.0006,103-367x267.png
0.0002,171-367x267.png
-0.0081,62-367x267.png
-0.0088,269-367x267.png
-0.0108,24-367x267.png
-0.0204,12-367x267.png
-0.0226,187-367x267.png
-0.0295,266-367x267.png
-0.0313,32-367x267.png
-0.0331,756-536x354.png
-0.0339,128-367x267.png
-0.0400,201-367x267.png
-0.0432,313-367x267.png
-0.0443,185-367x267.png
-0.0449,49-367x267.png
-0.0469,71-367x267.png
-0.0470,193-367x267.png
-0.0471,231-367x267.png
-0.0527,85-367x267.png
-0.0584,291-367x267.png
-0.0592,144-367x267.png
-0.0628,129-367x267.png
-0.0639,199-367x267.png
-0.0641,277-367x267.png
-0.0663,251-367x267.png
-0.0668,131-367x267.png
-0.0718,176-367x267.png
-0.0721,166-367x267.png
-0.0816,279-367x267.png
-0.0819,194-367x267.png
-0.0839,109-367x267.png
-0.0862,10-367x267.png
-0.0876,154-367x267.png
-0.0922,172-367x267.png
-0.1004,46-367x267.png
-0.1004,278-367x267.png
-0.1186,228-367x267.png
-0.1196,198-367x267.png
-0.1424,203-367x267.png
